worker_id,platform,city,experience,vehicle,monthly_gross,monthly_net,monthly_incentives,monthly_hours,monthly_trips,avg_effective_hourly,avg_efficiency,avg_idle_mins,claimed_monthly,gap_score,net_gap_score,effective_hourly,vs_min_wage,below_min_wage,incentive_dependency,cluster,persona
W00020,Swiggy,Chennai,6-12 months,Bike,17888.99,13260.99,1740.19,258,500,51.86,35.71,298.85,40000,55.3,66.8,51.4,-2.6,True,9.7,3,Surviving
W00021,Swiggy,Bengaluru,< 6 months,Car,17705.6,8808.37,1871.92,259,400,32.74,44.13,344.08,40000,55.7,78.0,34.01,-19.99,True,10.6,3,Surviving
W00022,Swiggy,Hyderabad,6-12 months,Bike,20614.61,15934.61,2069.08,259,520,60.48,39.43,294.69,40000,48.5,60.2,61.52,7.52,False,10.0,3,Surviving
W00023,Swiggy,Bengaluru,1-2 years,Bicycle,25016.69,24496.69,2389.05,271,580,90.8,43.16,303.65,40000,37.5,38.8,90.39,36.39,False,9.5,1,Stable
W00024,Swiggy,Delhi,6-12 months,Bike,18200.69,13211.95,1788.76,248,434,52.65,41.67,309.19,40000,54.5,67.0,53.27,-0.73,True,9.8,3,Surviving
W00025,Swiggy,Mumbai,6-12 months,Bicycle,22884.2,22364.2,2304.51,263,503,84.07,45.21,309.23,40000,42.8,44.1,85.03,31.03,False,10.1,1,Stable
W00026,Swiggy,Chennai,1-2 years,Bike,17406.78,12778.78,1753.93,253,480,50.03,36.17,300.19,40000,56.5,68.1,50.51,-3.49,True,10.1,3,Surviving
W00027,Swiggy,Chennai,< 6 months,Bicycle,14520.49,14000.49,1446.68,261,409,54.17,35.52,348.27,40000,63.7,65.0,53.64,-0.36,True,10.0,3,Surviving
W00028,Swiggy,Hyderabad,6-12 months,Bike,20038.77,15368.59,2207.23,260,499,58.0,39.59,301.54,40000,49.9,61.6,59.11,5.11,False,11.0,3,Surviving
W00029,Swiggy,Mumbai,< 6 months,Bike,18124.57,13054.57,1588.76,259,404,49.49,44.81,349.58,40000,54.7,67.4,50.4,-3.6,True,8.8,3,Surviving
W00030,Swiggy,Hyderabad,6-12 months,Bike,19532.84,14852.84,1950.26,272,499,54.59,39.07,330.92,40000,51.2,62.9,54.61,0.61,False,10.0,3,Surviving
W00031,Swiggy,Hyderabad,6-12 months,Bike,18958.45,14278.45,1852.92,265,492,53.75,38.41,322.38,40000,52.6,64.3,53.88,-0.12,True,9.8,3,Surviving
W00032,Swiggy,Delhi,2+ years,Car,27251.06,18135.46,2854.58,264,647,68.45,42.09,257.08,40000,31.9,54.7,68.69,14.69,False,10.5,1,Stable
W00033,Swiggy,Chennai,1-2 years,Bike,20277.0,15649.0,2278.95,272,559,57.85,36.3,307.62,40000,49.3,60.9,57.53,3.53,False,11.2,3,Surviving
W00034,Swiggy,Mumbai,1-2 years,Bike,24409.77,19339.77,2534.28,252,536,75.69,45.46,274.12,40000,39.0,51.7,76.75,22.75,False,10.4,1,Stable
W00035,Swiggy,Delhi,< 6 months,Bike,16350.44,11358.44,1781.98,254,384,44.72,42.42,339.73,40000,59.1,71.6,44.72,-9.28,True,10.9,3,Surviving
W00036,Swiggy,Bengaluru,< 6 months,Bike,18157.21,13269.21,1746.39,248,414,53.28,43.88,316.62,40000,54.6,66.8,53.5,-0.5,True,9.6,3,Surviving
W00037,Swiggy,Bengaluru,< 6 months,Car,18771.66,9980.81,1847.97,265,427,36.42,43.86,347.31,40000,53.1,75.0,37.66,-16.34,True,9.8,3,Surviving
W00038,Swiggy,Hyderabad,6-12 months,Bike,19261.61,14581.61,2107.69,272,495,52.88,38.7,327.73,40000,51.8,63.5,53.61,-0.39,True,10.9,3,Surviving
W00039,Swiggy,Hyderabad,< 6 months,Bike,16072.07,11392.07,1448.59,266,417,42.55,38.47,350.35,40000,59.8,71.5,42.83,-11.17,True,9.0,3,Surviving
W00040,Swiggy,Hyderabad,1-2 years,Bike,21450.25,16770.25,2111.15,259,548,64.25,39.07,284.12,40000,46.4,58.1,64.75,10.75,False,9.8,1,Stable
W00041,Swiggy,Delhi,< 6 months,Bike,19703.92,14711.92,1931.93,267,468,54.87,42.04,328.92,40000,50.7,63.2,55.1,1.1,False,9.8,3,Surviving
W00042,Swiggy,Delhi,6-12 months,Car,20422.88,11307.28,1817.61,259,485,43.4,42.14,311.85,40000,48.9,71.7,43.66,-10.34,True,8.9,3,Surviving
W00043,Swiggy,Delhi,1-2 years,Bike,23960.49,18968.49,2563.54,255,563,73.43,42.56,266.23,40000,40.1,52.6,74.39,20.39,False,10.7,1,Stable
W00044,Swiggy,Mumbai,6-12 months,Bike,22437.25,17367.25,2208.13,241,487,70.84,45.8,274.5,40000,43.9,56.6,72.06,18.06,False,9.8,1,Stable
W00045,Swiggy,Bengaluru,6-12 months,Bike,21762.08,16874.08,2462.79,267,487,63.76,44.56,324.5,40000,45.6,57.8,63.2,9.2,False,11.3,1,Stable
W00046,Swiggy,Chennai,< 6 months,Bike,15505.39,10877.39,1540.52,258,431,41.34,35.78,326.15,40000,61.2,72.8,42.16,-11.84,True,9.9,3,Surviving
W00047,Swiggy,Hyderabad,< 6 months,Bike,17171.1,12491.1,1775.27,248,441,49.73,38.95,302.35,40000,57.1,68.8,50.37,-3.63,True,10.3,3,Surviving
W00048,Swiggy,Bengaluru,1-2 years,Car,24324.53,15396.13,2382.12,257,562,59.78,43.28,280.54,40000,39.2,61.5,59.91,5.91,False,9.8,3,Surviving
W00049,Swiggy,Mumbai,6-12 months,Bike,21803.18,16733.18,2207.52,261,476,64.33,45.77,317.81,40000,45.5,58.2,64.11,10.11,False,10.1,1,Stable
W00050,Swiggy,Delhi,2+ years,Bike,24725.39,19733.39,2580.54,258,590,77.66,41.75,270.88,40000,38.2,50.7,76.49,22.49,False,10.4,1,Stable
W00051,Swiggy,Hyderabad,6-12 months,Bike,17669.98,12989.98,1875.39,251,456,51.69,38.63,303.31,40000,55.8,67.5,51.75,-2.25,True,10.6,3,Surviving
W00052,Swiggy,Bengaluru,6-12 months,Bike,20587.78,15699.78,2151.87,268,470,58.95,43.74,335.04,40000,48.5,60.8,58.58,4.58,False,10.5,3,Surviving
W00053,Swiggy,Bengaluru,< 6 months,Bike,17042.08,12154.08,1769.87,245,389,49.09,43.69,318.96,40000,57.4,69.6,49.61,-4.39,True,10.4,3,Surviving
W00054,Swiggy,Mumbai,< 6 months,Bike,19003.34,13933.34,1830.53,264,423,53.19,45.03,349.42,40000,52.5,65.2,52.78,-1.22,True,9.6,3,Surviving
W00055,Swiggy,Hyderabad,6-12 months,Bike,17821.06,13141.06,1626.93,258,456,50.49,38.88,319.35,40000,55.4,67.1,50.93,-3.07,True,9.1,3,Surviving
W00056,Swiggy,Delhi,< 6 months,Bike,17926.51,12934.51,1841.9,259,427,49.54,41.95,331.96,40000,55.2,67.7,49.94,-4.06,True,10.3,3,Surviving
W00057,Swiggy,Delhi,< 6 months,Bike,17106.82,12114.82,1498.15,256,417,46.49,40.98,328.42,40000,57.2,69.7,47.32,-6.68,True,8.8,3,Surviving
W00058,Swiggy,Bengaluru,1-2 years,Bike,24330.29,19442.29,2574.35,257,557,75.48,43.56,272.54,40000,39.2,51.4,75.65,21.65,False,10.6,1,Stable
W00059,Swiggy,Delhi,< 6 months,Bike,18202.65,13210.65,1763.12,264,438,51.09,41.56,339.85,40000,54.5,67.0,50.04,-3.96,True,9.7,3,Surviving
W00060,Swiggy,Hyderabad,6-12 months,Bike,19495.56,14815.56,2092.33,266,493,55.49,39.62,319.0,40000,51.3,63.0,55.7,1.7,False,10.7,3,Surviving
W00061,Swiggy,Mumbai,< 6 months,Bike,18363.95,13293.95,1547.5,265,405,50.17,45.21,348.04,40000,54.1,66.8,50.17,-3.83,True,8.4,3,Surviving
W00062,Swiggy,Mumbai,1-2 years,Bike,27788.67,22718.67,2836.97,265,607,84.8,45.74,268.12,40000,30.5,43.2,85.73,31.73,False,10.2,1,Stable
W00063,Swiggy,Chennai,< 6 months,Bike,14700.29,10072.29,1557.11,255,403,38.56,36.28,337.19,40000,63.2,74.8,39.5,-14.5,True,10.6,3,Surviving
W00064,Swiggy,Hyderabad,1-2 years,Bike,20329.45,15649.45,1818.0,259,527,60.23,38.47,289.23,40000,49.2,60.9,60.42,6.42,False,8.9,3,Surviving
W00065,Swiggy,Chennai,< 6 months,Bike,13755.66,9127.66,1303.91,261,387,35.12,35.17,352.65,40000,65.6,77.2,34.97,-19.03,True,9.5,3,Surviving
W00066,Swiggy,Bengaluru,1-2 years,Car,24959.95,16031.55,2512.77,256,561,62.85,44.38,274.23,40000,37.6,59.9,62.62,8.62,False,10.1,1,Stable
W00067,Swiggy,Bengaluru,1-2 years,Bike,24139.8,19251.8,2439.51,261,552,72.52,43.68,289.0,40000,39.7,51.9,73.76,19.76,False,10.1,1,Stable
W00068,Swiggy,Mumbai,6-12 months,Car,23257.03,14001.03,2392.66,258,507,53.56,45.67,294.42,40000,41.9,65.0,54.27,0.27,False,10.3,3,Surviving
W00069,Swiggy,Bengaluru,1-2 years,Bike,22587.1,17699.1,2701.46,259,507,68.62,44.43,294.65,40000,43.5,55.8,68.34,14.34,False,12.0,1,Stable
W00070,Swiggy,Hyderabad,6-12 months,Bike,17588.25,12908.25,1763.82,256,447,49.5,39.37,322.15,40000,56.0,67.7,50.42,-3.58,True,10.0,3,Surviving
W00071,Swiggy,Bengaluru,< 6 months,Bike,17208.59,12320.59,1391.4,259,404,46.87,42.43,342.27,40000,57.0,69.2,47.57,-6.43,True,8.1,3,Surviving
W00072,Swiggy,Bengaluru,6-12 months,Bike,20722.66,15834.66,2307.16,250,466,64.21,44.49,298.35,40000,48.2,60.4,63.34,9.34,False,11.1,1,Stable
W00073,Swiggy,Bengaluru,6-12 months,Bike,21939.46,17051.46,2055.77,265,504,63.44,43.61,307.38,40000,45.2,57.4,64.35,10.35,False,9.4,1,Stable
W00074,Swiggy,Hyderabad,1-2 years,Car,20442.77,11888.77,2037.62,256,525,46.81,38.97,284.0,40000,48.9,70.3,46.44,-7.56,True,10.0,3,Surviving
W00075,Swiggy,Mumbai,6-12 months,Bike,22523.12,17453.12,2308.33,258,492,67.23,45.37,299.08,40000,43.7,56.4,67.65,13.65,False,10.2,1,Stable
W00076,Swiggy,Chennai,6-12 months,Bike,18130.39,13502.39,1808.14,271,509,49.09,35.76,325.58,40000,54.7,66.2,49.82,-4.18,True,10.0,3,Surviving
W00077,Swiggy,Mumbai,2+ years,Bike,28871.45,23801.45,3271.21,254,615,93.8,47.14,256.81,40000,27.8,40.5,93.71,39.71,False,11.3,1,Stable
W00078,Swiggy,Bengaluru,2+ years,Bike,25691.22,20803.22,2997.62,258,582,80.34,44.01,266.19,40000,35.8,48.0,80.63,26.63,False,11.7,1,Stable
W00079,Swiggy,Mumbai,1-2 years,Bike,25440.08,20370.08,2670.82,272,550,74.07,46.18,311.46,40000,36.4,49.1,74.89,20.89,False,10.5,1,Stable
W00080,Swiggy,Bengaluru,< 6 months,Bike,17684.21,12796.21,1691.71,253,411,50.89,42.89,331.15,40000,55.8,68.0,50.58,-3.42,True,9.6,3,Surviving
W00081,Swiggy,Hyderabad,< 6 months,Bicycle,17115.0,16595.0,1623.85,264,442,62.11,38.79,338.85,40000,57.2,58.5,62.86,8.86,False,9.5,1,Stable
W00082,Swiggy,Bengaluru,2+ years,Bike,29489.02,24601.02,3162.83,266,677,92.76,43.63,252.5,40000,26.3,38.5,92.49,38.49,False,10.7,1,Stable
W00083,Swiggy,Mumbai,1-2 years,Bike,25894.33,20824.33,2621.37,258,563,80.84,45.97,277.54,40000,35.3,47.9,80.71,26.71,False,10.1,1,Stable
W00084,Swiggy,Chennai,1-2 years,Bike,19993.86,15365.86,2028.45,260,555,58.5,35.88,283.88,40000,50.0,61.6,59.1,5.1,False,10.1,3,Surviving
W00085,Swiggy,Mumbai,< 6 months,Bike,17784.95,12714.95,1645.53,266,396,47.28,44.76,364.27,40000,55.5,68.2,47.8,-6.2,True,9.3,3,Surviving
W00086,Swiggy,Delhi,1-2 years,Bike,24150.68,19158.68,2398.41,258,573,73.64,42.11,272.69,40000,39.6,52.1,74.26,20.26,False,9.9,1,Stable
W00087,Swiggy,Bengaluru,1-2 years,Car,23105.64,14177.24,2391.58,267,527,53.28,43.83,310.12,40000,42.2,64.6,53.1,-0.9,True,10.4,3,Surviving
W00088,Swiggy,Mumbai,< 6 months,Bike,19494.83,14424.83,1766.6,268,433,53.74,45.26,351.27,40000,51.3,63.9,53.82,-0.18,True,9.1,3,Surviving
W00089,Swiggy,Bengaluru,1-2 years,Bike,24115.89,19227.89,2764.04,251,543,77.14,44.23,277.19,40000,39.7,51.9,76.61,22.61,False,11.5,1,Stable
W00090,Swiggy,Bengaluru,< 6 months,Bike,18388.92,13500.92,1688.38,272,430,49.82,42.53,355.38,40000,54.0,66.2,49.64,-4.36,True,9.2,3,Surviving
W00091,Swiggy,Bengaluru,6-12 months,Bike,19660.73,14772.73,1998.97,258,452,58.6,43.63,320.12,40000,50.8,63.1,57.26,3.26,False,10.2,3,Surviving
W00092,Swiggy,Bengaluru,6-12 months,Bike,21440.22,16552.22,2035.44,255,498,64.44,43.16,297.81,40000,46.4,58.6,64.91,10.91,False,9.5,1,Stable
W00093,Swiggy,Hyderabad,2+ years,Bike,24382.35,19702.35,2413.0,257,626,76.14,39.04,251.42,40000,39.0,50.7,76.66,22.66,False,9.9,1,Stable
W00094,Swiggy,Hyderabad,< 6 months,Bike,16071.07,11391.07,1715.27,259,408,44.21,39.33,337.08,40000,59.8,71.5,43.98,-10.02,True,10.7,3,Surviving
W00095,Swiggy,Hyderabad,2+ years,Bike,23897.91,19217.91,2630.4,249,611,77.03,39.02,241.31,40000,40.3,52.0,77.18,23.18,False,11.0,1,Stable
W00096,Swiggy,Mumbai,1-2 years,Car,24948.19,15692.19,2560.61,266,550,59.44,45.31,302.46,40000,37.6,60.8,58.99,4.99,False,10.3,3,Surviving
W00097,Swiggy,Hyderabad,2+ years,Bike,23764.61,19084.61,2156.39,258,608,72.88,39.0,257.27,40000,40.6,52.3,73.97,19.97,False,9.1,1,Stable
W00098,Swiggy,Bengaluru,2+ years,Bike,27027.0,22139.0,2859.61,252,618,86.69,43.36,245.0,40000,32.4,44.7,87.85,33.85,False,10.6,1,Stable
W00099,Swiggy,Hyderabad,6-12 months,Bike,17989.03,13309.03,1739.25,259,467,50.91,38.37,312.92,40000,55.0,66.7,51.39,-2.61,True,9.7,3,Surviving
W00100,Swiggy,Hyderabad,6-12 months,Bike,20885.94,16205.94,2190.35,275,544,58.33,38.43,320.0,40000,47.8,59.5,58.93,4.93,False,10.5,3,Surviving
W00101,Swiggy,Bengaluru,< 6 months,Bike,17263.82,12375.82,1511.25,251,400,49.78,43.12,326.42,40000,56.8,69.1,49.31,-4.69,True,8.8,3,Surviving
W00102,Swiggy,Mumbai,6-12 months,Bike,21270.53,16200.53,1991.44,257,469,62.17,45.13,308.81,40000,46.8,59.5,63.04,9.04,False,9.4,3,Surviving
W00103,Swiggy,Hyderabad,< 6 months,Bike,14893.88,10213.88,1291.84,253,382,40.03,38.8,338.35,40000,62.8,74.5,40.37,-13.63,True,8.7,3,Surviving
W00104,Swiggy,Chennai,< 6 months,Bicycle,15470.41,14950.41,1678.46,256,426,59.14,36.03,324.27,40000,61.3,62.6,58.4,4.4,False,10.8,3,Surviving
W00105,Swiggy,Hyderabad,< 6 months,Bike,16555.81,11875.81,1697.18,261,426,45.83,38.97,340.65,40000,58.6,70.3,45.5,-8.5,True,10.3,3,Surviving
W00106,Swiggy,Hyderabad,1-2 years,Bike,24259.88,19579.88,2658.64,261,615,75.38,39.42,263.88,40000,39.4,51.1,75.02,21.02,False,11.0,1,Stable
W00107,Swiggy,Delhi,2+ years,Bike,26484.12,21492.12,2772.87,272,630,79.89,42.03,279.54,40000,33.8,46.3,79.02,25.02,False,10.5,1,Stable
W00108,Swiggy,Hyderabad,1-2 years,Car,21681.92,13127.92,2353.87,253,550,51.92,39.35,271.96,40000,45.8,67.2,51.89,-2.11,True,10.9,3,Surviving
W00109,Swiggy,Mumbai,2+ years,Car,27372.61,18116.61,2803.63,262,600,69.21,45.63,278.19,40000,31.6,54.7,69.15,15.15,False,10.2,1,Stable
W00110,Swiggy,Chennai,1-2 years,Bike,21346.81,16718.81,2221.62,263,590,62.89,36.13,277.04,40000,46.6,58.2,63.57,9.57,False,10.4,1,Stable
W00111,Swiggy,Bengaluru,< 6 months,Bike,17734.18,12846.18,1615.52,267,410,47.57,42.97,357.69,40000,55.7,67.9,48.11,-5.89,True,9.1,3,Surviving
W00112,Swiggy,Hyderabad,< 6 months,Bicycle,15277.98,14757.98,1724.35,258,388,56.58,39.09,348.65,40000,61.8,63.1,57.2,3.2,False,11.3,3,Surviving
W00113,Swiggy,Delhi,2+ years,Bicycle,25676.52,25156.52,2687.57,254,616,99.53,41.58,247.23,40000,35.8,37.1,99.04,45.04,False,10.5,1,Stable
W00114,Swiggy,Delhi,1-2 years,Bike,22384.02,17392.02,2217.63,257,530,66.95,42.02,286.27,40000,44.0,56.5,67.67,13.67,False,9.9,1,Stable
W00115,Swiggy,Delhi,2+ years,Bike,26875.37,21883.37,2904.84,256,640,84.61,42.09,232.85,40000,32.8,45.3,85.48,31.48,False,10.8,1,Stable
W00116,Swiggy,Bengaluru,< 6 months,Bicycle,17915.51,17395.51,1695.35,260,410,67.04,43.54,340.96,40000,55.2,56.5,66.91,12.91,False,9.5,1,Stable
W00117,Swiggy,Mumbai,< 6 months,Bike,20539.93,15469.93,1957.85,260,454,60.07,45.35,319.96,40000,48.7,61.3,59.5,5.5,False,9.5,3,Surviving
W00118,Swiggy,Mumbai,1-2 years,Bike,25950.45,20880.45,2751.76,256,568,81.48,45.72,278.96,40000,35.1,47.8,81.56,27.56,False,10.6,1,Stable
W00119,Swiggy,Bengaluru,2+ years,Bike,28190.45,23302.45,2982.32,252,638,92.69,44.47,242.04,40000,29.5,41.7,92.47,38.47,False,10.6,1,Stable
W00120,Swiggy,Bengaluru,1-2 years,Car,24089.21,15160.81,2354.86,262,559,56.5,42.96,286.62,40000,39.8,62.1,57.87,3.87,False,9.8,3,Surviving
W00121,Swiggy,Hyderabad,6-12 months,Bike,19302.21,14622.21,1809.45,264,508,55.83,37.92,308.38,40000,51.7,63.4,55.39,1.39,False,9.4,3,Surviving
W00122,Swiggy,Bengaluru,2+ years,Car,28140.25,19211.85,3238.22,265,632,72.03,44.61,262.04,40000,29.6,52.0,72.5,18.5,False,11.5,1,Stable
W00123,Swiggy,Delhi,6-12 months,Bike,19577.8,14585.8,1758.81,256,467,56.15,42.15,313.42,40000,51.1,63.5,56.98,2.98,False,9.0,3,Surviving
W00124,Swiggy,Mumbai,2+ years,Bike,29040.77,23970.77,3230.9,260,615,91.42,47.06,254.62,40000,27.4,40.1,92.2,38.2,False,11.1,1,Stable
W00125,Swiggy,Mumbai,1-2 years,Bike,25596.78,20526.78,2571.5,271,563,76.65,45.28,302.5,40000,36.0,48.7,75.74,21.74,False,10.0,1,Stable
W00126,Swiggy,Chennai,6-12 months,Bike,18669.47,14041.47,1997.79,263,517,52.2,36.01,298.23,40000,53.3,64.9,53.39,-0.61,True,10.7,3,Surviving
W00127,Swiggy,Bengaluru,6-12 months,Bike,22527.02,17639.02,2143.19,265,523,65.72,43.03,303.31,40000,43.7,55.9,66.56,12.56,False,9.5,1,Stable
W00128,Swiggy,Bengaluru,6-12 months,Bike,21156.97,16268.97,2098.43,264,485,61.15,43.64,319.46,40000,47.1,59.3,61.62,7.62,False,9.9,3,Surviving
W00129,Swiggy,Hyderabad,< 6 months,Bike,15015.01,10335.01,1276.96,265,392,39.28,38.16,360.35,40000,62.5,74.2,39.0,-15.0,True,8.5,3,Surviving
W00130,Swiggy,Bengaluru,1-2 years,Bike,22412.08,17524.08,2430.8,251,511,67.79,43.54,281.65,40000,44.0,56.2,69.82,15.82,False,10.8,1,Stable
W00131,Swiggy,Mumbai,6-12 months,Bike,23338.51,18268.51,2394.95,274,505,65.9,46.17,329.08,40000,41.7,54.3,66.67,12.67,False,10.3,1,Stable
W00132,Swiggy,Delhi,1-2 years,Car,23963.95,14848.35,2495.27,254,576,57.29,41.56,267.85,40000,40.1,62.9,58.46,4.46,False,10.4,3,Surviving
W00133,Swiggy,Hyderabad,6-12 months,Bike,18127.73,13447.73,1971.89,253,465,53.94,38.83,298.92,40000,54.7,66.4,53.15,-0.85,True,10.9,3,Surviving
W00134,Swiggy,Mumbai,< 6 months,Car,21438.15,12231.94,2035.9,271,465,44.51,45.86,345.27,40000,46.4,69.4,45.14,-8.86,True,9.5,3,Surviving
W00135,Swiggy,Delhi,6-12 months,Bike,20435.14,15443.14,2159.19,253,490,60.0,41.29,298.85,40000,48.9,61.4,61.04,7.04,False,10.6,3,Surviving
W00136,Swiggy,Chennai,6-12 months,Bike,16155.07,11527.07,1187.87,266,461,42.46,34.7,331.88,40000,59.6,71.2,43.33,-10.67,True,7.4,3,Surviving
W00137,Swiggy,Bengaluru,< 6 months,Bike,18335.48,13447.48,1942.74,255,421,52.46,43.48,331.42,40000,54.2,66.4,52.74,-1.26,True,10.6,3,Surviving
W00138,Swiggy,Chennai,< 6 months,Bike,13441.26,8836.72,1356.84,249,375,34.79,35.59,338.04,40000,66.4,77.9,35.49,-18.51,True,10.1,3,Surviving
W00139,Swiggy,Mumbai,1-2 years,Bike,25443.31,20373.31,2815.23,259,544,78.48,46.76,289.42,40000,36.4,49.1,78.66,24.66,False,11.1,1,Stable
W00140,Swiggy,Delhi,6-12 months,Car,18548.39,9432.79,1638.43,255,452,36.39,41.17,313.88,40000,53.6,76.4,36.99,-17.01,True,8.8,3,Surviving
W00141,Swiggy,Bengaluru,< 6 months,Bike,16285.34,11397.34,1554.63,255,376,44.3,43.82,350.15,40000,59.3,71.5,44.7,-9.3,True,9.5,3,Surviving
W00142,Swiggy,Mumbai,< 6 months,Bike,17654.95,12584.95,1557.31,257,388,48.53,45.43,341.04,40000,55.9,68.5,48.97,-5.03,True,8.8,3,Surviving
W00143,Swiggy,Mumbai,1-2 years,Bike,23901.46,18831.46,2256.13,250,523,74.88,45.52,276.88,40000,40.2,52.9,75.33,21.33,False,9.4,1,Stable
W00144,Swiggy,Chennai,< 6 months,Car,13916.13,5659.91,1222.27,260,399,21.59,34.86,348.92,40000,65.2,85.9,21.77,-32.23,True,8.8,3,Surviving
W00145,Swiggy,Hyderabad,1-2 years,Bike,21126.3,16446.3,2376.94,262,533,63.38,39.4,296.46,40000,47.2,58.9,62.77,8.77,False,11.3,1,Stable
W00146,Swiggy,Mumbai,< 6 months,Bike,16992.94,11922.94,1531.5,256,372,46.7,45.77,350.19,40000,57.5,70.2,46.57,-7.43,True,9.0,3,Surviving
W00147,Swiggy,Bengaluru,1-2 years,Bike,27043.06,22155.06,2821.57,263,613,85.58,43.93,266.58,40000,32.4,44.6,84.24,30.24,False,10.4,1,Stable
W00148,Swiggy,Bengaluru,1-2 years,Bike,26035.39,21147.39,2887.7,256,589,82.04,44.25,260.27,40000,34.9,47.1,82.61,28.61,False,11.1,1,Stable
W00149,Swiggy,Bengaluru,< 6 months,Bike,19413.56,14525.56,2004.63,270,440,54.14,43.84,351.23,40000,51.5,63.7,53.8,-0.2,True,10.3,3,Surviving
W00150,Swiggy,Mumbai,< 6 months,Bike,18521.41,13451.41,1737.77,257,409,51.83,45.33,336.96,40000,53.7,66.4,52.34,-1.66,True,9.4,3,Surviving
W00151,Swiggy,Bengaluru,1-2 years,Bike,24208.14,19320.14,2254.69,252,558,76.12,43.35,267.81,40000,39.5,51.7,76.67,22.67,False,9.3,1,Stable
W00152,Swiggy,Bengaluru,1-2 years,Car,24200.27,15271.87,2776.34,263,556,57.29,43.44,285.73,40000,39.5,61.8,58.07,4.07,False,11.5,3,Surviving
W00153,Swiggy,Bengaluru,1-2 years,Bike,21642.79,16754.79,2266.37,246,494,68.13,43.92,280.27,40000,45.9,58.1,68.11,14.11,False,10.5,1,Stable
W00154,Swiggy,Mumbai,6-12 months,Bike,22844.56,17774.56,2310.8,260,497,67.7,46.09,305.35,40000,42.9,55.6,68.36,14.36,False,10.1,1,Stable
